timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1779177325086,57,HTTP Request,200,,Thread Group 1-1,text,true,,819,270,1,1,http://localhost.com:7010/api/bbs/sso/login,,56,UTF-8,1,0,FOUNDSJJ,0,1
1779177325186,50,HTTP Request,200,,Thread Group 1-2,text,true,,819,270,2,2,http://localhost.com:7010/api/bbs/sso/login,,50,UTF-8,1,0,FOUNDSJJ,0,0
1779177325288,61,HTTP Request,200,,Thread Group 1-3,text,true,,819,270,3,3,http://localhost.com:7010/api/bbs/sso/login,,60,UTF-8,1,0,FOUNDSJJ,0,2
1779177325143,236,HTTP Request,200,,Thread Group 1-1,text,true,,365,437,3,3,http://localhost.com:7010/api/bbs/user/updateLikeState?articleId=26,,236,UTF-8,1,0,FOUNDSJJ,0,0
1779177325387,72,HTTP Request,200,,Thread Group 1-4,text,true,,819,270,4,4,http://localhost.com:7010/api/bbs/sso/login,,72,UTF-8,1,0,FOUNDSJJ,0,0
1779177325237,252,HTTP Request,200,,Thread Group 1-2,text,true,,365,437,5,5,http://localhost.com:7010/api/bbs/user/updateLikeState?articleId=26,,252,UTF-8,1,0,FOUNDSJJ,0,0
1779177325487,48,HTTP Request,200,,Thread Group 1-5,text,true,,819,270,5,5,http://localhost.com:7010/api/bbs/sso/login,,47,UTF-8,1,0,FOUNDSJJ,0,1
1779177325350,225,HTTP Request,200,,Thread Group 1-3,text,true,,365,437,5,5,http://localhost.com:7010/api/bbs/user/updateLikeState?articleId=26,,224,UTF-8,1,0,FOUNDSJJ,0,0
1779177325380,239,HTTP Request,200,,Thread Group 1-1,text,true,,365,437,6,6,http://localhost.com:7010/api/bbs/user/updateLikeState?articleId=26,,239,UTF-8,1,0,FOUNDSJJ,0,0
1779177325587,47,HTTP Request,200,,Thread Group 1-6,text,true,,819,270,6,6,http://localhost.com:7010/api/bbs/sso/login,,46,UTF-8,1,0,FOUNDSJJ,0,1
1779177325460,221,HTTP Request,200,,Thread Group 1-4,text,true,,365,437,6,6,http://localhost.com:7010/api/bbs/user/updateLikeState?articleId=26,,221,UTF-8,1,0,FOUNDSJJ,0,0
1779177325490,228,HTTP Request,200,,Thread Group 1-2,text,true,,365,437,7,7,http://localhost.com:7010/api/bbs/user/updateLikeState?articleId=26,,227,UTF-8,1,0,FOUNDSJJ,0,0
